HEATID,TAP_first,STARTTIME_first,DURATION_SEC,MW_mean,TEMP_mean,TEMP_p95,VALO2_mean,VALO2_p95,O2_AMOUNT_sum,GAS_AMOUNT_sum,O2_FLOW_mean,GAS_FLOW_mean
5F0040,13,2015-01-02 11:17:00,130200.0,6.125,1648.5,1648.95,907.5,928.65,432313.0,117055.0,2354.3571428571427,919.0753968253969
5F0041,13,2015-01-02 12:04:00,129600.0,6.375,1622.5,1631.05,570.0,589.8,461497.0,113007.0,1878.6896551724137,774.7701149425287
5F0043,13,2015-01-02 14:05:00,140400.0,6.5,1597.0,1609.0,452.6666666666667,519.0,496591.0,137863.0,2128.5714285714284,925.3296703296703
5F0045,13,2015-01-02 15:24:00,130200.0,6.21875,1638.0,1650.8,278.1111111111111,799.8,516685.0,132240.0,2214.867424242424,929.4204545454545
5F0046,11,2015-01-02 16:11:00,110400.0,7.1875,1637.6666666666667,1677.3,1016.3333333333334,1316.5,527029.0,121840.0,3290.6353383458645,855.1766917293234
5F0047,12,2015-01-02 17:03:00,114000.0,5.390625,1646.5,1656.85,1193.0,1319.9,452418.0,101682.0,3284.954732510288,840.4279835390946
5F0049,15,2015-01-03 01:45:00,158400.0,6.763888888888889,1632.5714285714287,1656.1,1029.857142857143,1217.3,620401.0,160559.0,2315.3126550868487,683.0545905707196
5F0050,11,2015-01-03 02:36:00,141600.0,4.46875,1628.8333333333333,1654.0,718.0,859.75,514286.0,165896.0,2791.580204778157,1034.5972696245733
5F0051,12,2015-01-03 03:49:00,133800.0,6.40625,1643.5,1663.0,560.0,680.0,429277.0,135671.0,3396.4846153846156,1071.3076923076924
5F0053,11,2015-01-03 05:30:00,130200.0,5.541666666666667,1662.0,1672.8,579.0,664.5,446584.0,147975.0,3078.7867647058824,1100.6029411764705
5F0054,11,2015-01-03 06:22:00,127200.0,6.015625,1676.0,1676.0,560.0,560.0,390015.0,122299.0,3466.569721115538,1066.9203187250996
5F0055,15,2015-01-03 07:12:00,129660.0,6.15625,1628.0,1644.6,402.3333333333333,469.5,417557.0,133516.0,3811.3217054263564,1123.1162790697674
5F0056,11,2015-01-03 07:59:00,129600.0,5.513888888888889,1641.5,1641.95,338.0,428.0,486473.0,164327.0,4252.785467128027,1189.9238754325258
5F0057,11,2015-01-03 08:49:00,129600.0,6.203125,1657.3333333333333,1703.8,613.0,685.7,429420.0,153033.0,4086.2123552123553,1463.0
5F0058,11,2015-01-03 09:36:00,125400.0,5.8125,1653.5,1659.35,599.0,604.4,413617.0,158738.0,4520.936,1612.88
5F0059,15,2015-01-03 10:43:00,124200.0,4.6125,1629.0,1633.8,457.3333333333333,480.8,457893.0,176089.0,4464.541353383459,1531.1766917293232
5F0060,11,2015-01-03 11:11:00,135600.0,5.513888888888889,1614.75,1677.2,496.0,707.2999999999998,517880.0,202664.0,4277.442105263158,1586.4877192982456
5F0062,11,2015-01-03 12:49:00,124800.0,4.318181818181818,1628.0,1660.4,496.5,579.75,446685.0,165753.0,4287.139705882353,1460.2316176470588
5F0063,11,2015-01-03 13:38:00,119400.0,4.775,1668.0,1668.0,463.0,463.0,418713.0,146696.0,4644.7322834645665,1398.232283464567
5F0064,15,2015-01-03 14:28:00,129000.0,3.9038461538461537,1637.75,1651.5,537.5,590.4499999999999,525071.0,190692.0,4543.187943262411,1483.1099290780141
5F0065,11,2015-01-03 15:18:00,123000.0,4.875,1632.6,1641.6,401.6,449.0,469538.0,169444.0,4368.174721189591,1404.1970260223047
5F0066,11,2015-01-03 16:10:00,126600.0,6.09375,1622.8,1658.4,596.6,684.6,466121.0,166625.0,4469.8378378378375,1425.7027027027027
5F0067,11,2015-01-03 16:57:00,126000.0,5.277777777777778,1660.0,1660.0,658.0,658.0,453740.0,173832.0,4160.733333333334,1559.4037037037037
5F0068,11,2015-01-03 17:43:00,128400.0,6.857142857142857,1637.3333333333333,1650.7,562.6666666666666,594.2,414090.0,152456.0,4149.866396761134,1498.9635627530365
5F0069,12,2015-01-03 18:46:00,121200.0,5.8125,1660.0,1664.5,696.5,746.45,395025.0,144795.0,4396.508196721312,1490.3524590163934
